----------------------------------------------------------------------
Schedule D - District/Port List (by name)[ProducedAPRIL25]
----------------------------------------------------------------------
Name                                                  | Code    | District/Port
PORT EVERGLADES, FL                                   | 5203    | Port
PORT HUENEME, CA                                      | 2713    | Port
PORT HURON, MI                                        | 3802    | Port
PORT LAVACA, TX                                       | 5313    | Port
PORT MANATEE, FL                                      | 1821    | Port
PORT TOWNSEND, WA                                     | 3008    | Port
PORTAL, ND                                            | 3403    | Port
PORTHILL, ID                                          | 3308    | Port
PORTLAND INTL AIRPORT, OR                             | 2910    | Port
PORTLAND, ME                                          | 01      | District
PORTLAND, ME                                          | 0101    | Port
PORTLAND, OR                                          | 2904    | Port
PORTSMOUTH, NH                                        | 0131    | Port
PRESIDIO, TX                                          | 2403    | Port
PRESQUE ISLE, MI                                      | 3842    | Port
PROGRESO, TX                                          | 2309    | Port
PROVIDENCE, RI                                        | 05      | District
PROVIDENCE, RI                                        | 0502    | Port
RACINE, WI                                            | 3708    | Port
RAYMOND, MT                                           | 3301    | Port
REDWOOD CITY,CA                                       | 2821    | Port
RENO, NV                                              | 2833    | Port
RICHFORD, VT                                          | 0203    | Port
RICHMOND,CA                                           | 2812    | Port
RICHMOND-PETERSBURG, VA                               | 1404    | Port
RIO GRANDE CITY, TX                                   | 2307    | Port
ROCHESTER USER FEE AIRPORT, MN                        | 3581    | Port
ROCHESTER, NY                                         | 0903    | Port
ROCKFORD AIRPORT, IL                                  | 3909    | Port
ROCKLAND, ME                                          | 0121    | Port
ROGERS CITY, MI                                       | 3818    | Port
ROMA, TX                                              | 2310    | Port
ROOSVILLE, MT                                         | 3318    | Port
ROSEAU, MN                                            | 3426    | Port
SABINE, TX                                            | 2102    | Port
SACRAMENTO INT'L AIRPORT, CA                          | 2835    | Port
SAGINAW/BAY CITY, MI                                  | 3804    | Port
SALEM, MA                                             | 0408    | Port
SALT LAKE CITY, UT                                    | 3303    | Port
SAN ANTONIO, TX                                       | 5507    | Port
SAN DIEGO, CA                                         | 25      | District
SAN DIEGO, CA                                         | 2501    | Port
SAN FRANCISCO INTL ARPT, CA                           | 2801    | Port
SAN FRANCISCO, CA                                     | 28      | District
SAN FRANCISCO, CA                                     | 2809    | Port
SAN JOSE INTL AIRPORT, CA                             | 2834    | Port
SAN JUAN INTL AIRPORT, PR                             | 4913    | Port
SAN JUAN, PR                                          | 49      | District
SAN JUAN, PR                                          | 4909    | Port
SAN JUAQUIN RIVER,CA                                  | 2828    | Port
SAN LUIS, AZ                                          | 2608    | Port
SAN PABLO BAY,CA                                      | 2829    | Port
SAN YSIDRO                                            | 2504    | Port
SANTA TERESA AIRPORT, NM                              | 2481    | Port
SANTA TERESA, NM                                      | 2408    | Port
SARASOTA BRADENTON ARPT, FL                           | 1883    | Port
SARLES, ND                                            | 3409    | Port
SASABE, AZ                                            | 2606    | Port
SAULT STE. MARIE, MI                                  | 3803    | Port
SAVANNAH, GA                                          | 17      | District
SAVANNAH, GA                                          | 1703    | Port
SCOBY, MT                                             | 3309    | Port
SEARSPORT, ME                                         | 0152    | Port
SEATTLE, WA                                           | 30      | District
SEATTLE, WA                                           | 3001    | Port
SEATTLE-TACOMA INTL ARPT                              | 3029    | Port
SELBY,CA                                              | 2827    | Port
SHERWOOD, ND                                          | 3414    | Port
SHREVEPORT/BOSSIER CITY, LA                           | 2018    | Port
SIOUX FALLS, S.D.                                     | 3502    | Port
SITKA, AK                                             | 3115    | Port
SKAGWAY, AK                                           | 3103    | Port
SODUS POINT, NY                                       | 0905    | Port
SPOKANE, WA                                           | 3022    | Port
SPRINGFIELD, MA                                       | 0402    | Port
SPRINGFIELD, MO                                       | 4505    | Port
ST JOHN, ND                                           | 3405    | Port
ST JOSEPH, MO                                         | 4502    | Port
ST LOUIS, MO                                          | 45      | District
ST LOUIS, MO                                          | 4503    | Port
ST. ALBANS, VT                                        | 02      | District
ST. ALBANS, VT                                        | 0201    | Port
ST. AUGUSTINE AIRPORT, FL                             | 1889    | Port
ST. PETERSBURG, FL                                    | 1814    | Port
ST. THOMAS VI BORDER PATROL                           | 4952    | Port
STOCKTON, CA                                          | 2810    | Port
SUGAR LAND REG AIRP, SUGAR LAND, TX                   | 5381    | Port
SUMAS, WA                                             | 3009    | Port
SWEETGRASS, MT                                        | 3310    | Port
SYRACUSE, NY                                          | 0906    | Port
TACOMA, WA                                            | 3002    | Port
TAMPA, FL                                             | 18      | District
TAMPA, FL                                             | 1801    | Port
TECATE, CA                                            | 2505    | Port
TEXAS CITY, TX                                        | 5306    | Port
TNT EXPRESS CONSIGNMENT, CHICAGO, IL                  | 3971    | Port
TNT EXPRESS, LAX, CA                                  | 2775    | Port
TNT SKYPAK, JAMAICA, NY                               | 1078    | Port
TOLEDO-SANDUSKY, OH                                   | 4105    | Port
TRENTON/MERCER COUNTY AIRPORT, NJ                     | 1183    | Port
TRI-CITIES AIRPORT, TN                                | 2027    | Port
TROUT RIVER, NY                                       | 0715    | Port
TUCSON, AZ                                            | 2609    | Port
TULSA, OK                                             | 5505    | Port
TURNER, MT                                            | 3306    | Port
UFA UI WILLARD AIRPORT, SAVOY, IL                     | 3987    | Port
UPS COURIER                                           | 4196    | Port
UPS, ANCHORAGE, AK                                    | 3196    | Port
UPS, MIAMI, FL                                        | 5295    | Port
UPS, SEATTLE, WA                                      | 3095    | Port
UPS, NEWARK, NJ                                       | 1069    | Port
UPS, PHILADELPHIA, PA                                 | 1195    | Port
UPS, SEATTLE, WA                                      | 3071    | Port
UPS-ONTARIO, CA                                       | 2795    | Port
VALLEY INTL AIRPORT, HARLINGEN, TX                    | 2383    | Port
VAN BUREN, ME                                         | 0108    | Port
VANCEBORO, ME                                         | 0105    | Port
VANCOUVER, WA                                         | 2908    | Port
VENTURA, CA                                           | 2712    | Port
VESSELS UNDER THEIR OWN POWER (IMPORTS AND EXPORTS)   | 60      | District
VICKSBURG, MS                                         | 2015    | Port
VIRGIN ISLANDS OF THE UNITED STATES                   | 51      | District
WALHALLA, ND                                          | 3407    | Port
WARROAD, MN                                           | 3423    | Port
WASHINGTON, DC                                        | 54      | District
WASHINGTON, DC                                        | 5401    | Port
WEST PALM BEACH, FL                                   | 5204    | Port
WESTHOPE, ND                                          | 3419    | Port
WHITLASH, MT                                          | 3321    | Port
WICHITA, KS                                           | 4504    | Port
WILDHORSE, MT                                         | 3323    | Port
WILKES-BARRE/SCRANTON, PA                             | 1106    | Port
WILLISTON AIRPORT, ND                                 | 3433    | Port
WILLOW RUN AIRPORT, YPSILANTI, MI                     | 3882    | Port
WILMINGTON, DE                                        | 1103    | Port
WILMINGTON, NC                                        | 15      | District
WILMINGTON, NC                                        | 1501    | Port
WINSTON-SALEM, NC                                     | 1502    | Port
WORCESTER, MA                                         | 0403    | Port
WRANGELL, AK                                          | 3105    | Port
YSLETA, TX                                            | 2401    | Port
----------------------------------------------------------------------
Source: Foreign Trade Division, U.S. Census Bureau, Washington, D.C. 20233
This listing produced...APRIL25
----------------------------------------------------------------------
