port_code,port_name,country,cty_code,region
30768,Puerto Ordaz,Venezuela,3070,South America
30769,Cumana,Venezuela,3070,South America
30770,Punta Cardon,Venezuela,3070,South America
30771,Puerto La Cruz,Venezuela,3070,South America
30772,Caripito,Venezuela,3070,South America
30773,Punta Palmas,Venezuela,3070,South America
30774,El Guamache,Venezuela,3070,South America
30775,Pertigalete,Venezuela,3070,South America
30780,San Felix,Venezuela,3070,South America
31200,All Other Guyana Ports,Guyana,3120,South America
31201,Demerara,Guyana,3120,South America
31202,New Amsterdam,Guyana,3120,South America
31215,Linden,Guyana,3120,South America
31230,Barama; Baramanni,Guyana,3120,South America
31268,Everton,Guyana,3120,South America
31500,All Other Suriname Ports,Suriname,3150,South America
31501,Moengo,Suriname,3150,South America
31510,Nieuw Nickerie,Suriname,3150,South America
31520,Wageningen,Suriname,3150,South America
31523,Paramaribo,Suriname,3150,South America
31524,Paranam,Suriname,3150,South America
31700,All French Guiana Ports,French Guiana,3170,South America
31702,Cayenne,French Guiana,3170,South America
31704,Saint Laurent du Maroni; SaintLaurent,French Guiana,3170,South America
31707,Degrad des Cannes,French Guiana,3170,South America
33100,Galapagos Islands,Ecuador,3310,South America
33101,Bahia de Caraquez,Ecuador,3310,South America
33109,Balao; Balao Terminal,Ecuador,3310,South America
33121,Esmeraldas,Ecuador,3310,South America
33131,Duran,Ecuador,3310,South America
33132,Puerto Nuevo,Ecuador,3310,South America
33136,La Libertad,Ecuador,3310,South America
33140,San Lorenzo,Ecuador,3310,South America
33151,Manta,Ecuador,3310,South America
33159,Puerto Bolivar,Ecuador,3310,South America
33300,Atico,Peru,3330,South America
33301,Ancon,Peru,3330,South America
33303,Callao,Peru,3330,South America
33305,Conchan,Peru,3330,South America
33335,Ilo,Peru,3330,South America
33337,Iquitos,Peru,3330,South America
33340,La Pampilla,Peru,3330,South America
33354,Matarani,Peru,3330,South America
33355,Mollendo,Peru,3330,South America
33363,Paita,Peru,3330,South America
33371,Pimentel,Peru,3330,South America
33373,General San Martin,Peru,3330,South America
33377,Salaverry,Peru,3330,South America
33380,San Nicolas,Peru,3330,South America
33385,Supe,Peru,3330,South America
33389,Talara,Peru,3330,South America
33700,Ancud,Chile,3370,South America
33703,Antofagasta,Chile,3370,South America
33704,Angamos,Chile,3370,South America
33706,Arica,Chile,3370,South America
33708,Caldera,Chile,3370,South America
33716,Caleta Barquito,Chile,3370,South America
33721,Coquimbo,Chile,3370,South America
33735,Guayacan,Chile,3370,South America
33739,Huasco,Chile,3370,South America
33741,Iquique,Chile,3370,South America
