port_code,port_name,district_code,district_name
3419,"WESTHOPE, ND",34,"PEMBINA, ND"
3420,"NOONAN, ND",34,"PEMBINA, ND"
3421,"CARBURY, ND",34,"PEMBINA, ND"
3422,"DUNSEITH, ND",34,"PEMBINA, ND"
3423,"WARROAD, MN",34,"PEMBINA, ND"
3424,"BAUDETTE, MN",34,"PEMBINA, ND"
3425,"PINECREEK, MN",34,"PEMBINA, ND"
3426,"ROSEAU, MN",34,"PEMBINA, ND"
3427,"GRAND FORKS, ND",34,"PEMBINA, ND"
3430,"LANCASTER, MN",34,"PEMBINA, ND"
3433,"WILLISTON AIRPORT, ND",34,"PEMBINA, ND"
3434,"MINOT AIRPORT, ND",34,"PEMBINA, ND"
3501,"MINNEAPOLIS-ST. PAUL, MN",35,"MINNEAPOLIS, MN"
3502,"SIOUX FALLS, S.D.",35,"MINNEAPOLIS, MN"
3510,"DULUTH, MN-SUPERIOR, WI",35,"MINNEAPOLIS, MN"
3511,"ASHLAND, WI",35,"MINNEAPOLIS, MN"
3512,"OMAHA, NE",35,"MINNEAPOLIS, MN"
3513,"DES MOINES, IA",35,"MINNEAPOLIS, MN"
3581,"ROCHESTER USER FEE AIRPORT, MN",35,"MINNEAPOLIS, MN"
3604,"INTERNATIONAL FALLS-RANIER, MN",36,"DULUTH, MN"
3613,"GRAND PORTAGE, MN",36,"DULUTH, MN"
3701,"MILWAUKEE, WI",37,"MILWAUKEE, WI"
3702,"MARINETTE, WI",37,"MILWAUKEE, WI"
3703,"GREEN BAY, WI",37,"MILWAUKEE, WI"
3706,"MANITOWOC, WI",37,"MILWAUKEE, WI"
3708,"RACINE, WI",37,"MILWAUKEE, WI"
3801,"DETROIT, MI",38,"DETROIT, MI"
3802,"PORT HURON, MI",38,"DETROIT, MI"
3803,"SAULT STE. MARIE, MI",38,"DETROIT, MI"
3804,"SAGINAW/BAY CITY, MI",38,"DETROIT, MI"
3805,"BATTLE CREEK, MI",38,"DETROIT, MI"
3806,"GRAND RAPIDS, MI",38,"DETROIT, MI"
3807,"DETROIT METRO AIRPORT, DETROIT, MI",38,"DETROIT, MI"
3808,"ESCANABA, MI",38,"DETROIT, MI"
3809,"MARQUETTE, MI",38,"DETROIT, MI"
3814,"ALGONAC, MI",38,"DETROIT, MI"
3815,"MUSKEGON, MI",38,"DETROIT, MI"
3816,"GRAND HAVEN, MI",38,"DETROIT, MI"
3818,"ROGERS CITY, MI",38,"DETROIT, MI"
3819,"DETOUR, MI",38,"DETROIT, MI"
3842,"PRESQUE ISLE, MI",38,"DETROIT, MI"
