port_code,port_name,district_code,district_name,port_consolidated,port_coast,port_region,port_type
2501,"SAN DIEGO, CA",25,"SAN DIEGO, CA",San Diego Border,Land Ports,California,land_border
2502,"ANDRADE, CA",25,"SAN DIEGO, CA",San Diego Border,Land Ports,California,land_border
2503,"CALEXICO, CA",25,"SAN DIEGO, CA",San Diego Border,Land Ports,California,land_border
2504,SAN YSIDRO,25,"SAN DIEGO, CA",San Diego Border,Land Ports,California,land_border
2505,"TECATE, CA",25,"SAN DIEGO, CA",San Diego Border,Land Ports,California,land_border
2506,OTAY MESA,25,"SAN DIEGO, CA",Otay Mesa,Land Ports,California,land_border
2507,CALEXICO-EAST,25,"SAN DIEGO, CA",Calexico,Land Ports,California,land_border
2601,"DOUGLAS, AZ",26,"NOGALES, AZ",Arizona Border,Land Ports,Land Ports,land_border
2602,"LUKEVILLE, AZ",26,"NOGALES, AZ",Arizona Border,Land Ports,Land Ports,land_border
2603,"NACO, AZ",26,"NOGALES, AZ",Arizona Border,Land Ports,Land Ports,land_border
2604,"NOGALES, AZ",26,"NOGALES, AZ",Nogales,Land Ports,Land Ports,land_border
2605,"PHOENIX, AZ",26,"NOGALES, AZ",Phoenix,Inland,Land Ports,inland
2606,"SASABE, AZ",26,"NOGALES, AZ",Arizona Border,Land Ports,Land Ports,land_border
2608,"SAN LUIS, AZ",26,"NOGALES, AZ",Arizona Border,Land Ports,Land Ports,land_border
2609,"TUCSON, AZ",26,"NOGALES, AZ",Tucson,Inland,Land Ports,inland
2704,"LOS ANGELES, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,seaport
2707,"PORT 2707, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,seaport
2709,"LONG BEACH, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,seaport
2712,"VENTURA, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,seaport
2713,"PORT HUENEME, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,seaport
2715,"CAPITAN, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,seaport
2719,"MORRO BAY, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,seaport
2720,"LOS ANGELES INTERNATIONAL AIRPORT, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,airport
2721,"ONTARIO INTL AIRPORT, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,airport
2722,"LAS VEGAS, NV",27,"LOS ANGELES, CA",Las Vegas,Inland,California,inland
2775,"TNT EXPRESS, LAX, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,courier
2776,IBC PACIFIC,27,"LOS ANGELES, CA",LA-Long Beach,West,California,courier
2786,"MEADOWS FIELD AIRPORT, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,airport
2791,"DHL-HUB, LOS ANGELES, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,courier
2795,"UPS-ONTARIO, CA",27,"LOS ANGELES, CA",LA-Long Beach,West,California,courier
2801,"SAN FRANCISCO INTL ARPT, CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,airport
2802,"EUREKA, CA",28,"SAN FRANCISCO, CA",Eureka,West,California,seaport
2803,"FRESNO, CA",28,"SAN FRANCISCO, CA",San Francisco Bay,Inland,California,inland
2805,"MONTEREY, CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2809,"SAN FRANCISCO, CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2810,"STOCKTON, CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2811,"OAKLAND, CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2812,"RICHMOND,CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2815,"CROCKETT,CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2820,"MARTINEZ,CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2821,"REDWOOD CITY,CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2827,"SELBY,CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2828,"SAN JUAQUIN RIVER,CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2829,"SAN PABLO BAY,CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2830,"CARQUINEZ STRAIT,CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,seaport
2833,"RENO, NV",28,"SAN FRANCISCO, CA",San Francisco Bay,Inland,California,inland
2834,"SAN JOSE INTL AIRPORT, CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,airport
2835,"SACRAMENTO INT'L AIRPORT, CA",28,"SAN FRANCISCO, CA",San Francisco Bay,Inland,California,airport
2871,AIRCARGO HANDLING SERVIC,28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,courier
2895,"FEDEX, OAKLAND, CA",28,"SAN FRANCISCO, CA",San Francisco Bay,West,California,courier
2901,"ASTORIA, OR",29,"COLUMBIA-SNAKE, OR",Columbia River,West,Pacific Northwest,seaport
2902,"NEWPORT, OR",29,"COLUMBIA-SNAKE, OR",Columbia River,West,Pacific Northwest,seaport
2903,"COOS BAY, OR",29,"COLUMBIA-SNAKE, OR",Columbia River,West,Pacific Northwest,seaport
2904,"PORTLAND, OR",29,"COLUMBIA-SNAKE, OR",Columbia River,West,Pacific Northwest,seaport
2905,"LONGVIEW, WA",29,"COLUMBIA-SNAKE, OR",Columbia River,West,Pacific Northwest,seaport
2907,"BOISE, ID",29,"COLUMBIA-SNAKE, OR",Columbia River,Inland,Pacific Northwest,seaport
2908,"VANCOUVER, WA",29,"COLUMBIA-SNAKE, OR",Columbia River,West,Pacific Northwest,seaport
2909,"KALAMA, WA",29,"COLUMBIA-SNAKE, OR",Columbia River,West,Pacific Northwest,seaport
2910,"PORTLAND INTL AIRPORT, OR",29,"COLUMBIA-SNAKE, OR",Columbia River,West,Pacific Northwest,airport
3001,"SEATTLE, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3002,"TACOMA, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3003,"ABERDEEN-HOQUIAM, WA",30,"SEATTLE, WA",Grays Harbor,West,Pacific Northwest,seaport
3004,"BLAINE, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3005,"BELLINGHAM, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3006,"EVERETT, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3007,"PORT ANGELES, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3008,"PORT TOWNSEND, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3009,"SUMAS, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3010,"ANACORTES, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3011,"NIGHTHAWK, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3012,"DANVILLE, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3013,"FERRY, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3014,"FRIDAY HARBOR, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3015,"BOUNDARY, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3016,"LAURIER, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3017,"POINT ROBERTS, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3018,"KENMORE AIR HARBOR, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,airport
3019,"OROVILLE, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3020,"FRONTIER, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3022,"SPOKANE, WA",30,"SEATTLE, WA",Seattle-Tacoma,Inland,Pacific Northwest,seaport
3023,"LYNDEN, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,land_border
3025,METALINE FALLS,30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3026,"OLYMPIA, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,seaport
3029,SEATTLE-TACOMA INTL ARPT,30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,airport
3071,"UPS, SEATTLE, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,courier
3072,"AVION BROKERS, SEATTLE, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,courier
3073,"DHL, SEATTLE, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,courier
3074,"AIRBORNE EXPRESS, SEATTLE, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,courier
3082,GRANT COUNTY AIRPORT,30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,airport
3095,"UPS, SEATTLE, WA",30,"SEATTLE, WA",Seattle-Tacoma,West,Pacific Northwest,courier
3101,"JUNEAU, AK",31,"ANCHORAGE, AK",Alaska,Alaska/US Islands,Alaska/US Islands,seaport
3102,"KETCHIKAN, AK",31,"ANCHORAGE, AK",Alaska,Alaska/US Islands,Alaska/US Islands,seaport
