shipper_norm,year,production_st,production_mt_equiv,vessel_calls_n,calls_with_tons,raw_exports_mt,annual_corr_factor,corrected_exports_mt,export_fraction_pct
POCAHONTAS,2024,0.0,0.0,3.0,2.0,53000.0,2.0641557547316407,109400.0,
POCAHONTAS,2026,0.0,0.0,1.0,1.0,17050.0,1.8476221035807328,31502.0,
POLAND,2022,0.0,0.0,2.0,1.0,85000.0,1.9700504815059154,167454.0,
POLAND,2023,0.0,0.0,1.0,0.0,0.0,2.1102734257739506,0.0,
RAMACO,2021,2206928.0,2002125.0,10.0,6.0,133083.0,2.232689430705837,297133.0,14.8
RAMACO,2022,2675273.0,2427008.0,24.0,9.0,280002.0,1.9700504815059154,551618.0,22.7
RAMACO,2023,3162200.0,2868748.0,57.0,26.0,740458.0,2.1102734257739506,1562569.0,54.5
RAMACO,2024,3673882.0,3332946.0,43.0,18.0,743115.0,2.0641557547316407,1533905.0,46.0
RAMACO,2025,3827082.0,3471929.0,27.0,26.0,875161.0,1.9886938064949435,1740427.0,50.1
RAMACO,2026,0.0,0.0,2.0,2.0,85000.0,1.8476221035807328,157048.0,
ROBINDALE,2021,0.0,0.0,8.0,5.0,293898.0,2.232689430705837,656183.0,
ROBINDALE,2022,0.0,0.0,14.0,5.0,298039.0,1.9700504815059154,587152.0,
ROBINDALE,2023,0.0,0.0,14.0,8.0,594013.0,2.1102734257739506,1253530.0,
ROBINDALE,2024,0.0,0.0,14.0,9.0,517498.0,2.0641557547316407,1068196.0,
ROBINDALE,2025,0.0,0.0,11.0,11.0,648735.0,1.9886938064949435,1290135.0,
ROBINDALE,2026,0.0,0.0,1.0,1.0,50000.0,1.8476221035807328,92381.0,
ROMANIA,2022,0.0,0.0,1.0,1.0,55181.0,1.9700504815059154,108709.0,
ROMANIA,2023,0.0,0.0,1.0,1.0,68010.0,2.1102734257739506,143520.0,
ROSEBUD,2022,0.0,0.0,2.0,2.0,36030.0,1.9700504815059154,70981.0,
