USACE_PORT,USACE_PORT_NAME,Census_Code,Census_Sked_D_E,Port_Consolidated,Port_Coast,Port_Region,Match_Type
4889,"Togiak Bay, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4893,"Kotzebue Sound, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4903,"Klawock, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4905,"False Pass, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4906,"Kodiak, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4907,"Seward, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4916,"Nome, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4932,"Afognak Bay, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4935,"Kodiak Island, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4939,"Unalaska Island, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4940,"Chignik Bay, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4943,"Baralof Bay, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4946,"Akutan Island, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4951,"Adak Island, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4952,"St. Paul Island, Pribilof Island, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4954,"Amchitka Island, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4957,"Mitrofania Bay, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4966,"Nunavak Island, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4971,"St. Lawrence Island, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4972,"Teller, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4981,"Point Hope, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4986,"Wainwright, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4988,"Utqiagvik (Barrow), AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4995,"Prudhoe Bay, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4998,"Kivalina, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
5003,"Old Harbor, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
5004,"Yakutat, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
5005,"Haines Borough, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
5250,"Delaware River, Philadelphia, PA to the Sea",,,,,,NO MATCH
5303,"Hudson River, NY, Mouth of Spuyten Duyvil Creek (Harlem River) to  Waterford, NY",,,New York ,East,North Atlantic,State Fallback
