commodity,class_code,class_name,grade_code,grade_name,records,avg_test_weight,min_test_weight,max_test_weight,median_test_weight,avg_sf_ft3_per_lt,median_sf_ft3_per_lt,avg_sf_untrimmed_ft3_per_lt,median_sf_untrimmed_ft3_per_lt
WHEAT,SRW,Soft Red Winter,SGO/B,Sample Grade or Better,3,56.82,55.45,58.06,56.94,49.09,48.97,52.03,51.9
WHEAT,SRW,Soft Red Winter,5,US No. 5,2,57.43,56.41,58.44,57.43,48.57,48.57,51.48,51.48
WHEAT,SRW,Soft Red Winter,OT,OT,1,61.0,61.0,61.0,61.0,45.71,45.71,48.45,48.45
WHEAT,SWW,Soft White Wheat,2 O/B,US No. 2 or Better,7648,61.6,58.08,83.78,61.56,45.27,45.29,47.99,48.01
WHEAT,SWW,Soft White Wheat,1,US No. 1,3985,61.63,59.95,65.0,61.57,45.24,45.28,47.96,48.0
WHEAT,SWW,Soft White Wheat,2,US No. 2,46,61.89,58.69,62.94,62.04,45.05,44.94,47.76,47.64
WHEAT,SWW,Soft White Wheat,SG O/B,Sample Grade or Better,27,62.14,58.79,64.85,62.05,44.88,44.93,47.57,47.63
WHEAT,SWW,Soft White Wheat,4 O/B,US No. 4 or Better,20,61.6,60.68,62.17,61.62,45.26,45.25,47.98,47.97
WHEAT,SWW,Soft White Wheat,5 O/B,US No. 5 or Better,7,60.23,57.36,63.02,61.27,46.34,45.5,49.12,48.24
WHEAT,SWW,Soft White Wheat,3 O/B,US No. 3 or Better,6,61.26,59.3,62.69,61.41,45.53,45.41,48.26,48.13
WHEAT,SWW,Soft White Wheat,,Ungraded,2,61.25,61.0,61.5,61.25,45.52,45.52,48.25,48.25
WHEAT,SWW,Soft White Wheat,5,US No. 5,1,56.34,56.34,56.34,56.34,49.49,49.49,52.46,52.46
WHEAT,SWW,Soft White Wheat,4,US No. 4,1,58.05,58.05,58.05,58.05,48.03,48.03,50.91,50.91
WHEAT,SWW,Soft White Wheat,3,US No. 3,1,61.93,61.93,61.93,61.93,45.02,45.02,47.72,47.72
WHEAT,WW,Western White Wheat,2 O/B,US No. 2 or Better,2717,61.13,58.11,69.6,61.0,45.62,45.71,48.35,48.45
WHEAT,WW,Western White Wheat,1,US No. 1,349,61.11,60.0,62.7,61.0,45.63,45.71,48.37,48.45
WHEAT,WW,Western White Wheat,2,US No. 2,143,60.75,58.97,62.9,61.0,45.9,45.71,48.65,48.45
WHEAT,WW,Western White Wheat,3 O/B,US No. 3 or Better,1,61.0,61.0,61.0,61.0,45.71,45.71,48.45,48.45
WHEAT,XWHT,Unclassed/Mixed Wheat,2 O/B,US No. 2 or Better,93,60.53,58.36,62.7,60.95,46.07,45.74,48.84,48.49
WHEAT,XWHT,Unclassed/Mixed Wheat,SG O/B,Sample Grade or Better,56,61.03,56.98,63.72,61.32,45.72,45.47,48.46,48.2
WHEAT,XWHT,Unclassed/Mixed Wheat,5 O/B,US No. 5 or Better,35,61.85,57.73,63.91,61.87,45.1,45.06,47.81,47.77
WHEAT,XWHT,Unclassed/Mixed Wheat,SG,Sample Grade,13,58.33,54.41,61.97,58.6,47.85,47.58,50.73,50.43
WHEAT,XWHT,Unclassed/Mixed Wheat,4 O/B,US No. 4 or Better,10,61.2,57.57,63.04,62.13,45.6,44.88,48.34,47.57
WHEAT,XWHT,Unclassed/Mixed Wheat,SGO/B,Sample Grade or Better,4,57.93,57.64,58.38,57.86,48.13,48.2,51.02,51.09
WHEAT,XWHT,Unclassed/Mixed Wheat,2,US No. 2,2,60.05,59.8,60.3,60.05,46.43,46.43,49.22,49.22
WHEAT,XWHT,Unclassed/Mixed Wheat,1,US No. 1,1,61.35,61.35,61.35,61.35,45.45,45.45,48.17,48.17
WHEAT,XWHT,Unclassed/Mixed Wheat,OT,OT,1,61.0,61.0,61.0,61.0,45.71,45.71,48.45,48.45
WHEAT,XWHT,Unclassed/Mixed Wheat,3,US No. 3,1,59.62,59.62,59.62,59.62,46.76,46.76,49.57,49.57
