Cert_Date,Vessel,Port,Field_Office,Grain_Countries,Grain_Grades,Grain_Tons,Inspection_Count,Vessel_Norm,Port_Norm
2023-06-16,NEW FIRST,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,15934,1,NEW FIRST,COLUMBIA R.
2023-09-21,NEW FIRST,COLUMBIA R.,PACIFICNW,KOREA REP,1,12386,1,NEW FIRST,COLUMBIA R.
2023-09-22,NEW FIRST,COLUMBIA R.,PACIFICNW,KOREA REP,1,23914,3,NEW FIRST,COLUMBIA R.
2023-01-18,NEW INTELLIGENCE,COLUMBIA R.,PACIFICNW,KOREA REP,1,20020,3,NEW INTELLIGENCE,COLUMBIA R.
2023-01-19,NEW INTELLIGENCE,COLUMBIA R.,PACIFICNW,KOREA REP,1,15730,1,NEW INTELLIGENCE,COLUMBIA R.
2023-04-17,NEW JOYFUL,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,23249,1,NEW JOYFUL,COLUMBIA R.
2023-04-18,NEW JOYFUL,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,24125,2,NEW JOYFUL,COLUMBIA R.
2023-08-30,NEW JOYFUL,COLUMBIA R.,PACIFICNW,THAILAND,2 O/B,57874,3,NEW JOYFUL,COLUMBIA R.
2023-04-26,NEW KEY,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,16800,1,NEW KEY,COLUMBIA R.
2023-04-27,NEW KEY,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,22186,1,NEW KEY,COLUMBIA R.
2023-06-27,NEW MOMENTUM,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,37275,2,NEW MOMENTUM,COLUMBIA R.
2023-03-09,NEW OPTIMA,COLUMBIA R.,PACIFICNW,KOREA REP,1,9460,1,NEW OPTIMA,COLUMBIA R.
2023-03-10,NEW OPTIMA,COLUMBIA R.,PACIFICNW,KOREA REP,1,26840,3,NEW OPTIMA,COLUMBIA R.
2023-06-22,NEW OPTIMA,COLUMBIA R.,PACIFICNW,KOREA REP,1,700,1,NEW OPTIMA,COLUMBIA R.
2023-06-23,NEW OPTIMA,COLUMBIA R.,PACIFICNW,KOREA REP,1,23667,2,NEW OPTIMA,COLUMBIA R.
2023-06-24,NEW OPTIMA,COLUMBIA R.,PACIFICNW,KOREA REP,1,13057,1,NEW OPTIMA,COLUMBIA R.
2023-12-06,NEWCHANG,MISSISSIPPI R.,NEW ORLEANS,NICARAGUA,2 O/B,23676,1,NEWCHANG,MISSISSIPPI R.
2023-08-13,NEWSEAS JADE,MISSISSIPPI R.,NEW ORLEANS,MEXICO,2 O/B,27283,2,NEWSEAS JADE,MISSISSIPPI R.
2023-08-14,NEWSEAS JADE,MISSISSIPPI R.,NEW ORLEANS,MEXICO,2 O/B,11532,1,NEWSEAS JADE,MISSISSIPPI R.
2023-03-22,NIAN NU JIAO,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,69299,1,NIAN NU JIAO,MISSISSIPPI R.
2023-06-09,NICHOLAS STANFORD,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,57750,1,NICHOLAS STANFORD,MISSISSIPPI R.
2023-11-17,NICHOLAS STANFORD,N. TEXAS,LEAGUE CITY,CHINA,2 O/B,52719,1,NICHOLAS STANFORD,N. TEXAS
2023-10-14,NICOSIA PEGASUS,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,69449,1,NICOSIA PEGASUS,MISSISSIPPI R.
2023-04-02,NIKKEI PROGRESSO,MISSISSIPPI R.,NEW ORLEANS,JAPAN,1,3282,1,NIKKEI PROGRESSO,MISSISSIPPI R.
2023-04-03,NIKKEI PROGRESSO,MISSISSIPPI R.,NEW ORLEANS,JAPAN,2,43786,1,NIKKEI PROGRESSO,MISSISSIPPI R.
2023-02-04,NIKOLAOS,COLUMBIA R.,PACIFICNW,VIETNAM,2 O/B,10867,1,NIKOLAOS,COLUMBIA R.
2023-02-05,NIKOLAOS,COLUMBIA R.,PACIFICNW,VIETNAM,2 O/B,53134,1,NIKOLAOS,COLUMBIA R.
2023-10-30,NIKOLAS D,PUGET SOUND,PACIFICNW,CHINA,2 O/B,69299,1,NIKOLAS D,PUGET SOUND
