Carrier,Carrier Name,action,Group,Commodity,Cargo,CargoDetail
ASSQ,ASSO ARIADNE NAVIGATION COMPANY LIMITED,Exclude,,,,
AMQK,ASSOCIATED MARITIME COMPANY (HONG KONG) LIMITED,Exclude,,,,
ASOM,ASTRA SHIPMANAGEMENT INC,Exclude,,,,
AWNC,ASTRA TWO (2),Exclude,,,,
AUNS,ASTRAL SHIPPING PTE LTD,Exclude,,,,
ATNS,ATLANSHIP S A,Exclude,,,,
AHMO,ATLANTIC (HELLAS) MARITIME,Exclude,,,,
ACLU,ATLANTIC CONTAINER LINE AB,Exclude,,,,
ALNJ,ATLANTIC SHIP AGENCIES INC,Exclude,,,,
ASFH,ATLANTIC SHIPPING COMPANY INC,Exclude,,,,
ATLL,ATLAS LINE,Exclude,,,,
AWVW,ATLAS MARITIME SHIPMANAGEMENT LTD,Exclude,,,,
BHFW,BAHAMAS FERRIES LTD,Exclude,,,,
BCGO,BALEARIA CARIBBEAN LTD CORP,Exclude,,,,
BAOF,BALENA,Exclude,,,,
BXTR,BAXTER TRADING INC,Exclude,,,,
BOPT,"BDP TRANSPORT, INC",Exclude,,,,
BEEQ,BEEONTRADE INC,Exclude,,,,
BICP,BELLAVISTA INVESTMENTS CORPORATION,Exclude,,,,
BVMC,BELLEVALIA MARINE CO.,Exclude,,,,
BEMS,BEMEL LOGISTICS LLC,Exclude,,,,
BCLU,BERMUDA CONTAINER LINE LTD,Exclude,,,,
BSSJ,BERNHARD SCHULTE SHIPMANAGEMENT (CHINA) COMPANY LTD,Exclude,,,,
BSCS,BERNHARD SCHULTE SHIPMANAGEMENT (DEUTSCHLAND) GMBH & CO KG,Exclude,,,,
BSZM,BERNHARD SCHULTE SHIPMANAGEMENT (HELLAS) SPLLC,Exclude,,,,
BSSL,BERNHARD SCHULTE SHIPMANAGEMENT (ISLE OF MAN) LIMITED,Exclude,,,,
BLIY,BERTLING LOGISTICS INC,Exclude,,,,
BWYB,BESTWAY LOGISTICS INC,Exclude,,,,
BGLV,BG LNG SERVICES LLC,Exclude,,,,
BIBC,BIEHL & CO,Exclude,,,,
BIMH,BIMINI SHIPPING LLC,Exclude,,,,
BNXC,BINEX LINE CORPORATION,Exclude,,,,
BNOW,BLACKSTONE SHIPPING NETHERLAND BV,Exclude,,,,
BANQ,BLUE ANCHOR AMERICA LINE (BLUE ANCHOR LINE),Exclude,,,,
BQEG,BLUE EAGLE CONSOLIDATION GMBH,Exclude,,,,
BLME,BLUE LOTUS OCEAN LINE LIMITED,Exclude,,,,
BPIJ,BLUE PI CORPORATION CO LTD,Exclude,,,,
BPMP,BLUE SHIPS LIMITED,Exclude,,,,
BLWM,BLUE WATER MARITIME AKA WILLIAM HUMPHREY,Exclude,,,,
BWMP,BLUE WAVE LINE NV,Exclude,,,,
BMCM,BLUEPOOL PANAMAX LTD,Exclude,,,,
BUKW,BOOKING UNION (CHN) CO LTD,Exclude,,,,
BKMV,BORINKEN MARINE AGENCY INC,Exclude,,,,
BOUK,BOSKALIS OFFSHORE INTERNATIONAL B.V.,Exclude,,,,
BOYT,BOYER TOWING INC,Exclude,,,,
BPXE,BP EXPLORATION & PRODUCTION INC,Exclude,,,,
BISJ,BPI INTERNATIONAL SHIPPING LIMITED,Exclude,,,,
BRDT,BRIDGESTONE LOGISTICS CO LTD,Exclude,,,,
BRWI,BROKTON CORP,Exclude,,,,
BTFW,BRUSCO TUG & BARGE,Exclude,,,,
BZZN,BRUZZONE SHIPPING INC,Exclude,,,,
BBVF,BTS LOGISTICS B.V.,Exclude,,,,
BELJ,BULBOUS ENVIRONMENTAL & LOGISTICS INC,Exclude,,,,
BEKD,BW EPIC KOSAN MARITIME PTE LTD,Exclude,,,,
BGDY,BW GAS LPG CHARTERING PTE LTD,Exclude,,,,
BWOG,BW LPG POOL PTE LTD,Exclude,,,,
BYTG,BYRON TWO ONE (21) LTD,Exclude,,,,
CPWB,C P WORLD LLC,Exclude,,,,
CSMC,CAPITAL SHIP MANAGEMENT CORP,Exclude,,,,
CMMD,CARDINAL MARITIME LIMITED,Exclude,,,,
CCGH,CARGO CONSOLIDATORS AGENCY LTD.,Exclude,,,,
CCLL,CARGO CONTAINER LINE LIMITED,Exclude,,,,
PCXS,CARGO MARKETING SERVICES LIMITED,Exclude,,,,
CGWW,CARGOLIVE WORLDWIDE LOGISTICS LLC,Exclude,,,,
CWLT,CARGOWAYS LOGISTICS INCORPORATED,Exclude,,,,
CGZL,CARGOZONE LOGISTICS INC,Exclude,,,,
CFPR,CARIBE FREIGHT FORWARDING OF PUERTO RICO INC,Exclude,,,,
CRNV,CARNIVAL CRUISE LINES,Exclude,,,,
CPUD,CARNIVAL PLC (UK),Exclude,,,,
CFGG,CARRIER FIVE THREE (CARRIER53) SHIPPING GMBH,Exclude,,,,
CGLS,CASIA GLOBAL LOGISITICS CO LTD,Exclude,,,,
CQLY,CELEBRITY CRUISES,Exclude,,,,
CNUO,CENTAURI TRANSPORT,Exclude,,,,
CDST,CENTRAL DISPATCH INC,Exclude,,,,
CEPV,CENTRAL EXPRESS INTL CO LTD,Exclude,,,,
CMWQ,CENTRAL MARE INC,Exclude,,,,
CISW,CENTRAL MARINE LOGISTICS INC,Exclude,,,,
CIQK,CENTRANS INTERNATIONAL CORP,Exclude,,,,
CFUM,CHAPPLE FUELS LIMITED,Exclude,,,,
SBXM,CHARLES KENDALL FREIGHT,Exclude,,,,
CHBG,CHARTER BROKERAGE LLC,Exclude,,,,
CKLN,CHEMIKALIEN SEETRANSPORT GMBH,Exclude,,,,
CNIH,CHINAARTS INTERTRANS (SHANGHAI) CO LTD,Exclude,,,,
CHSL,CHRISTAL LINES,Exclude,,,,
CWQG,CIMC WETRANS LOGISTICS TECHNOLOGY (HONG KONG) COMPANY LIMITED,Exclude,,,,
CJKC,CJ LOGISTICS CORPORATION,Exclude,,,,
CJAE,CJ LOGISTICS FREIGHT AMERICA,Exclude,,,,
CJCA,"CJC LOGISTICS, LLC",Exclude,,,,
CRFN,CLEARFREIGHT,Exclude,,,,
CUOL,CLOUD OCEAN LINE LIMITED,Exclude,,,,
CFVM,CLOVERLEAF VENTURES INC,Exclude,,,,
CMDU,CMA-CGM,Exclude,,,,
COSP,COLUMBIA SHIPMANAGEMENT LTD,Exclude,,,,
CPJE,CONCEPT PROJECT LINE LTD,Exclude,,,,
CLUA,"CONCEPTUM LOGISTICS (USA), LLC",Exclude,,,,
CCMK,CONCORD MARITIME LLC,Exclude,,,,
CKIB,COOK INLET TUG & BARGE LLC,Exclude,,,,
CCXQ,COOL COMPANY MANAGEMENT LIMITED,Exclude,,,,
COSU,COSCO SHIPPING LINES CO LTD,Exclude,,,,
CPDV,CPD ALASKA LLC,Exclude,,,,
CPUV,CPT ALLIANCE LTD,Exclude,,,,
CWLQ,CROWLEY CARIBBEAN SERVICES LLC,Exclude,,,,
CLAM,CROWLEY LATIN AMERICA SERVICES LLC,Exclude,,,,
CWPS,CROWLEY PETROLEUM SERVICES INC,Exclude,,,,
CVJD,CRYSTAL CRUISES LTD,Exclude,,,,
DBGA,D B GROUP AMERICA LTD,Exclude,,,,
DWSH,DALIAN WANLIAN SUPPLY CHAIN MANAGEMENT CO LTD,Exclude,,,,
DMIW,DALVAN MARINE INC,Exclude,,,,
DMCW,DANIEL MARINE CORP,Exclude,,,,
DANN,DANIO SHIPPING LIMITED,Exclude,,,,
DMAL,DANMAR LINES LTD,Exclude,,,,
DNYC,DART GLOBAL LOGISTICS,Exclude,,,,
DPLW,DAVA PTE LTD,Exclude,,,,
DLVR,DELIVERY ON TIME LTD,Exclude,,,,
DISO,DELTRANS INTERNATIONAL SHIPPING CORPORATION,Exclude,,,,
DOUQ,DEME OFFSHORE US LLC,Exclude,,,,
DDVN,DENAK DEPOCULUK VE NAKLIYECILIK A S,Exclude,,,,
DOTD,DEUGRO OCEAN TRANSPORT INC,Exclude,,,,
DCRL,DISNEY CRUISE LINE,Exclude,,,,
DOLQ,DOLE OCEAN CARGO EXPRESS,Exclude,,,,
DFBA,DORAL FREIGHT LOGISTICS INC,Exclude,,,,
DOAI,DORCHESTER ASSOCIATES INC,Exclude,,,,
DLMP,DORIAN LPG MANAGEMENT CORP,Exclude,,,,
DCWP,DRAFT CARGOWAYS INDIA PRIVATE LIMITED,Exclude,,,,
DCLT,DRAGON CARRIERS LTD,Exclude,,,,
DSVF,DSV AIR & SEA INC. DBA. DSV OCEAN TRANSPORT,Exclude,,,,
DOSO,DSV MARINE SERVICES,Exclude,,,,
DFDS,DSV OCEAN TRANSPORT A/S,Exclude,,,,
DLHT,DT LOGISTICS (HK) LTD,Exclude,,,,
EMML,EASTERN MEDITERRANEAN MARITIME LIMITED,Exclude,,,,
ESWW,"EASTERN SHIPPING WORLDWIDE, INC.",Exclude,,,,
ECUW,ECU WORLDWIDE,Exclude,,,,
EFED,EFE,Exclude,,,,
EFEH,EFE SHIPPING & TRADING HELLAS SA,Exclude,,,,
EFLR,EFL CONTAINER LINES LLC,Exclude,,,,
EGET,EGETRANS USA INC,Exclude,,,,
EMSA,ELEMENT MARITIME S A,Exclude,,,,
ELYW,ELYMNIOS MARITIME INC,Exclude,,,,
EMTY,EM TRANSFER INC,Exclude,,,,
EMLT,EM-LINES LIMITED,Exclude,,,,
EMCS,EMPEROR MARINE CO SA,Exclude,,,,
ENHE,ENERGOS INFRASTRUCTURE,Exclude,,,,
EOFF,ENSCO OFFSHORE COMPANY,Exclude,,,,
ESCH,ENYO SHIPPING CO LTD,Exclude,,,,
EPSD,EPS CHARTERING UK,Exclude,,,,
EUIA,ERIXMAR USA INC,Exclude,,,,
JERS,ERNST JACOB (GMBH & CO KG),Exclude,,,,
EAID,ESTES FORWARDING WORLDWIDE LLC (OCEAN),Exclude,,,,
ESNV,ESTORIL NAVIGATION LTD,Exclude,,,,
EMLW,ETOILE MARINE LIMITED,Exclude,,,,
EURN,EURONAV NV,Exclude,,,,
ECSG,EUROTRANS CHARTER SDN BHD,Exclude,,,,
ELCK,EUSU LOGISTICS CO LTD,Exclude,,,,
ECGF,EV CARGO GLOBAL FORWARDING,Exclude,,,,
EGLV,EVERGREEN LINE,Exclude,,,,
EBRV,EXCELERATE ENERGY,Exclude,,,,
