Zone,Facility,Vessel Types,Activity,Cargoes,ZoneType,Note
Plaquemine Pt Anch,Plaquemine Pt Anch,All,Anchoring - Only,All,Anchorage,
Poland St,Poland St,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Baton Rouge General Cargo,Port of Baton Rouge,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Port Sulphur Anch,Port Sulphur Anch,All,Anchoring - Only,All,Anchorage,
Pt Celeste Anch,Pt Celeste Anch,All,Anchoring - Only,All,Anchorage,
Pt Michelle Anch,Pt Michelle Anch,All,Anchoring - Only,All,Anchorage,
Calciner Industries,RAIN Chalmette,Bulk - Only,Load - Only ,Calcined Petcoke - Only,Bulk Plant,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Chalmette Terminal,RAIN Gramercy,Bulk - Only,Load - Only ,Calcined Petcoke - Only,Bulk Plant,
Reserve Anch,Reserve Anch,All,Anchoring - Only,All,Anchorage,
136 Buoys,Reserve Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
136.7 Buoys,Reserve Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
137.5 Buoys,Reserve Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
Shell Geismar,Shell Geismar,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Shell Norco 1,Shell Norco ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Shell Norco 2,Shell Norco ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Shell Norco 4,Shell Norco ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Shintech,Shintech,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Stolthaven 3,Stolthaven,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Stolthaven 4,Stolthaven,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Sugarland St James 1,Sugarland St James ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Sugarland St James 2,Sugarland St James ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
SWP Anch,SWP Anch,All,Anchoring - Only,All,Anchorage,
SWP Cross,SWP Cross,All,Pilot Station,All,Pilot Station,
Total Carville,Total Carville,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
United Bulk,UBT Davant,Bulk - Only,Load - Only ,"Coal - Petcoke, 99%",Bulk Terminal,
United Bulk Terminal,UBT Davant,Bulk - Only,Load - Only ,"Coal - Petcoke, 99%",Bulk Terminal,
Valero Meraux,Valero Meraux,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Valero St Charles 2,Valero St Charles,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Valero St Charles 3,Valero St Charles,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Valero St Charles 4,Valero St Charles,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Valero St Charles 5,Valero St Charles,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Lwr Venice Anch,Venice Anch,All,Anchoring - Only,All,Anchorage,
Upr Venice Anch,Venice Anch,All,Anchoring - Only,All,Anchorage,
Violet Dock 1,Violet Dock (idle),All,All,Layberth,General Cargo,
Violet Dock 2,Violet Dock (idle),All,All,Layberth,General Cargo,
Violet Dock 3,Violet Dock (idle),All,All,Layberth,General Cargo,
Violet Dock 4,Violet Dock (idle),All,All,Layberth,General Cargo,
Violet Dock 5,Violet Dock (idle),All,All,Layberth,General Cargo,
Vulcan St Rose,Vulcan St Rose,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
Vulcan Westwego,Vulcan Westwego,Bulk - Only,Discharge - Only,Aggregates - Only,Bulk Plant,
Waggaman Buoys,Waggaman Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
White Castle Anch,White Castle Anch,All,Anchoring - Only,All,Anchorage,
Willow Glen,Willow Glen,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Wills Pt Anch,Wills Pt Anch,All,Anchoring - Only,All,Anchorage,
Yara Fertilizer,Yara Fertilizer,Bulk - Only,Discharge - Only,Fertilizer - Only,Bulk Plant,
Zen-Noh Grain,Zen-Noh,Bulk - Only,Load - Only ,Grain - Only,Elevator,
Zen-Noh Lower,Zen-Noh,Bulk - Only,Load - Only ,Grain - Only,Elevator,
Zen-Noh Upper,Zen-Noh,Bulk - Only,Load - Only ,Grain - Only,Elevator,
Zito HPL Buoys,Zito HPL Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
