registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code
110070003472,YARDWORKS INC,4921 HICKORY HILL RD,MEMPHIS,TN,38141,SHELBY,4.0,35.01386,-89.86519,423320
110070001801,"YARDWORKS, INC.",6195 E. SHELBY DRIVE,MEMPHIS,TN,38141,SHELBY,4.0,35.02038,-89.85658,423320
110070566831,"CONTINENTAL CEMENT COMPANY, LLC",2549 CHANNEL AVENUE,MEMPHIS,TN,38113,SHELBY COUNTY,4.0,35.08216,-90.12451,423320
110040438247,VULCAN MATERIALS COMPANY - MEMPHIS,1074 HARBOR AVENUE,MEMPHIS,TN,38113,SHELBY,4.0,35.10789,-90.09122,423320
110070005515,ROZELLE PLANT,1580 ROZELLE ST,MEMPHIS,TN,38106,SHELBY,4.0,35.10206,-90.00633,423320
110071871343,PINE BLUFF MATERIALS CO.,1030 VISCO DRIVE,NASHVILLE,TN,37210,DAVIDSON,4.0,36.16222,-86.74,423320
110001676865,HOLCIM (US) INC.,840 VISCO DR,NASHVILLE,TN,37210,DAVIDSON,4.0,36.15779,-86.74755,423320
110001677061,RIVER CEMENT SALES CO. DBA BUZZI UNICEM,1818 CEMENT PLANT ROAD,NASHVILLE,TN,37208,DAVIDSON,4.0,36.186,-86.7852,423320
110001858482,LONE STAR IND DBA BUZZI UNICEM USA,1702 2ND AVE NORTH,NASHVILLE,TN,37208,DAVIDSON,4.0,36.18696,-86.78774,423320
110072109123,NASHVILLE RAIL YARD,713 LEBANON PIKE,NASHVILLE,TN,37210,DAVIDSON,4.0,36.15382,-86.74769,423320
110040511434,"ROGERS GROUP, INC.",711 LEBANON PIKE,NASHVILLE,TN,37210,DAVIDSON,4.0,36.15382,-86.74769,423320
110035031729,TXI CELINA AGGREGATE TERMINAL,11481 COUNTY ROAD 53,CELINA,TX,75009,COLLIN,6.0,33.293665,-96.790248,423320
110005055313,O'NEAL STEEL INC,9500 CLINTON DR,HOUSTON,TX,77029,HARRIS,6.0,29.7364,-95.2621,423320
110009784304,CEMEX CEMENT OF TEXAS NAVIGATION TERMINAL,5303 NAVIGATION,HOUSTON,TX,77011,HARRIS,6.0,29.749826,-95.319872,423320
110071355477,SIKA CORPORATION LEWISVILLE WAREHOUSE,2075 MIDWAY RD,LEWISVILLE,TX,75056,DENTON,,33.04678,-96.927823,423320
110071658352,THOMPSON FAMILY TRUST,17687 COUNTY ROAD 480,LINDALE,TX,75771,SMITH,6.0,32.52134,-95.461478,423320
110071729303,PIT32,16 W LINDALE TO CR 32 TAKE R SOUTH 1.6 MILES ON WE,LINDALE,TX,75771,SMITH,6.0,32.51147,-95.30973,423320
110030818159,EAST TEXAS ASPHALT LIVINGSTON,360 S FM 1988,LIVINGSTON,TX,77351,POLK,6.0,30.690833,-94.9525,423320
110030818097,EAST TEXAS ASPHALT,2406 SPENCE ST,LUFKIN,TX,75904,ANGELINA,6.0,31.37106,-94.71647,423320
110071898044,BURNCO,350 COUNTY ROAD 4905,TRENTON,TX,75490,FANNIN,6.0,33.42037,-96.32236,423320
110008177187,AMCOR MASONRY PRODUCTS,333 SOUTH REDWOOD ROAD,NORTH SALT LAKE,UT,84054,DAVIS,8.0,40.83745,-111.93336,423320
110043515906,BAKER'S CONSTRUCTION & EXCAVATION,21500 VANCES MILL ROAD,ABINGDON,VA,24210,WASHINGTON,3.0,36.686291,-81.983784,423320
110064349076,CELTIC DEMOLITION - PORTABLE,2050 BALLENGER AVE SUITE 200,ALEXANDRIA,VA,22314,ALEXANDRIA CITY,3.0,38.8027,-77.06494,423320
110070832791,CRUSH LLC,7164 LEE HWY,ATKINS,VA,24311,SMYTH COUNTY,3.0,,,423320
110015971769,OLDCASTLE STONE PRODUCTS - BUCHANAN PLANT,HIGHWAY 43 EAST,BUCHANAN,VA,24066,BOTETOURT,3.0,37.526669,-79.668272,423320
110056299250,LASTING-COASTLINE INC - PORTABLE 61676,3900 SHANNON ST,CHESAPEAKE,VA,23324,CHESAPEAKE,3.0,36.78797,-76.29474,423320
110002458947,ROANOKE CEMENT COMPANY C/O TITAN AMERICA LLC,1332 PRIORITY LANE,CHESAPEAKE,VA,23324,CHESAPEAKE CITY,3.0,36.81427,-76.284128,423320
110001890847,ARGOS USA LLC - CHESAPEAKE CEMENT TERMINAL,100 PRATT STREET,CHESAPEAKE,VA,23324,CHESAPEAKE,3.0,36.77986,-76.30501,423320
110067011897,HEIDELBERG MATERIALS US CEMENT LLC,13021 RAMBLEWOOD DR,CHESTER,VA,23836,CHESTERFIELD COUNTY,3.0,37.34841,-77.3923,423320
110045434099,STONETECH LLC - PORTABLE 61544,12165 MAPP AVE,EXMORE,VA,23350,NORTHAMPTON,3.0,37.532291,-75.821531,423320
110001910996,ROANOKE CEMENT CO TRANSFER FACILITY,33 PREZANIS WAY,FRONT ROYAL,VA,22630,WARREN,3.0,38.9716,-78.17596,423320
110061078453,OLD SCHOOL CRUSHING COMPANY - PORTABLE 52443,1922 W PEMBROKE AVE,HAMPTON,VA,23661,HAMPTON,3.0,37.01011,-76.38943,423320
110007321683,BOXLEY MATERIALS COMPANY - LYNCHBURG BLOCK PLANT,SACKETT STREET,LYNCHBURG,VA,24504,LYNCHBURG,3.0,37.38781,-79.15092,423320
110072120255,GLEN-GERY MANASSAS SUPPLY CENTER,"7413 CUSHING ROAD, SUITE 100",MANASSAS,VA,20109,PRINCE WILLIAM,3.0,38.79368,-77.56153,423320
110054871803,DEMOLITION SERVICES INCORPORATED - PORTABLE 52444,8136 FLANNERY COURT,MANASSAS,VA,20109,PRINCE WILLIAM,3.0,38.782309,-77.55721,423320
110054880928,MARTIN MARIETTA MATERIALS  LOUISA STONE YARD,434 JOHNSON ROAD,MINERAL,VA,23117,LOUISA,3.0,38.01091,-77.86815,423320
110001890990,CEDAR MOUNTAIN STONE - MITCHELLS,10496 QUARRY DRIVE,MITCHELLS,VA,22729,CULPEPER,3.0,38.35208,-78.04266,423320
110001907385,MOTHER EARTH MATERIALS,6109 JEFFERSON AVENUE,NEWPORT NEWS,VA,23601,NEWPORT NEWS CITY,3.0,37.02185,-76.44618,423320
110071541251,VULCAN SKIFFIES CREEK SALES YARD,313 O'HARA LANE,NEWPORT NEWS,VA,23603,,3.0,37.19436,-76.57441,423320
110016710362,MACSONS INC - PORTABLE 61625,408 W 25TH STREET,NORFOLK,VA,23517,NORFOLK,3.0,36.87184,-76.28909,423320
110002030917,VULCAN CONSTRUCTION MATERIALS LLC - NORFOLK YARD - PORTABLE 61140,3145 VIRGINIA BEACH BLVD,NORFOLK,VA,23504,NORFOLK CITY,3.0,36.85304,-76.24748,423320
110006520167,HEIDELBERG MATERIALS US CEMENT LLC - NORFOLK TERMINAL,8791 HAMPTON BOULEVARD,NORFOLK,VA,23505,NORFOLK,3.0,36.932036,-76.318105,423320
110001912048,AMERICAN CONCRETE SERVICES INC - NORFOLK,3478 WESTMINISTER AVENUE,NORFOLK,VA,23504,NORFOLK,3.0,36.84292,-76.24219,423320
110067157613,NORTHWEST SCREENING INC II,15496 RIVERSIDE DRIVE,OAKWOOD,VA,24631,BUCHANAN COUNTY,3.0,37.236424,-82.058109,423320
110043294173,BLUE PHOENIX INASHCO RICHMOND INC - PORTABLE 52358,2001 CHARLES CITY RD,RICHMOND,VA,23231,HENRICO,3.0,37.58991,-77.52987,423320
110043515933,JW DEMOLITION LLC - PORTABLE 52269,111 HULL ST,RICHMOND,VA,23224,RICHMOND (CITY),3.0,37.52611,-77.43599,423320
110061064413,OLD SCHOOL CRUSHING COMPANY - PORTABLE 52492,2106 DEEPWATER TERMINAL RD,RICHMOND,VA,23234,CHESTERFIELD,3.0,37.49362,-77.43114,423320
110015321935,ROANOKE CEMENT COMPANY,2800 N HOPKINS RD,RICHMOND,VA,23224,RICHMOND CITY,3.0,37.50368,-77.44862,423320
110001888128,ROANOKE BLOCK - PLANT 716,1510 WALLACE AVENUE,ROANOKE,VA,24012,ROANOKE CITY,3.0,37.28471,-79.91485,423320
110024552303,HD SUPPLY CONSTRUCTION SUPPLY LTD (WC0206),8090 ALBAN RD,SPRINGFIELD,VA,22150,FAIRFAX,3.0,38.73725,-77.19396,423320
110067011398,EM RESOURCES LLC,2429 FERRY RD,VIRGINIA BEACH,VA,23455,VIRGINIA BEACH CITY,3.0,36.907134,-76.181343,423320
110070824209,WITCHDUCK DEVELOPMENT INC - PORTABLE 61827,122 MAC ST,VIRGINIA BEACH,VA,23462,VIRGINIA BEACH CITY,3.0,36.83806,-76.156,423320
