facility_id,dataset_source,source_record_id,source_name,source_address,source_city,source_county,source_lat,source_lng,distance_meters,name_similarity,match_confidence,match_method
MRTIS_0021,EPA_FRS,110013011873,ST BERNARD PARISH WATERWORKS-2014 NEW SURFACE WATER TREATMENT PLANT,ST. BERNARD PARISH WATERWORKS,CHALMETTE,ST. BERNARD,29.932922,-89.956132,2754.1,0.145,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110009013655,ST. BERNARD PARISH GOVERNMENT - PORTABLE WATER PLANT,1111 E. ST BERNARD HWY,CHALMETTE,ST. BERNARD,29.932187,-89.957582,2847.4,0.239,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110003366349,ST. BERNARD PARISH WATER TREATMENT PLANT,1111 E. ST. BERNARD HIGHWAY,CHALMETTE,ST. BERNARD,29.932051,-89.956876,2778.9,0.218,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110022464162,SUN RISE PLAZA,4213 E. JUDGE PEREZ DR,MERAUX,ST. BERNARD,29.93522,-89.92181,1676.0,0.133,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110024585723,"TURN SERVICES, INC. - MERAUX FACILITY",LEFT DESC. BANK OF MISSISSIPPI RIVER AT MILE 86.4,MERAUX,ST. BERNARD,29.924444,-89.934167,444.5,0.426,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110055038659,VALERO REFINING - MERAUX LLC,1615 E. JUDGE PEREZ DR.,CHALMETTE,ST. BERNARD,29.93771,-89.94796,2421.6,0.4,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110064417652,WHITE-SPUNNER CONSTRUCTION INC.,2500 ARCHBISHOP HANNA BLVD,MERAUX,ST. BERNARD,29.934115,-89.923488,1491.4,0.256,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110055631106,BEVERLY INDUSTRIES LLC,3040 E. ST. BERNARD HWY,MERAUX,ST. BERNARD,29.93016,-89.934819,759.3,0.235,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110013404280,"D & D PRESSURE CLEAN, LLC",2701 EARL DR.,MERAUX,ST. BERNARD,29.93505,-89.91928,2138.4,0.056,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110070029888,"DIRTY RED, LLC",5000 EAST ST. BERNARD HWY,VIOLET,ST. BERNARD,29.915472,-89.91165,2618.6,0.24,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110041572544,FISHER'S FIELD,UNKNOWN,CHALMETTE,ST. BERNARD,29.9324,-89.9328,1060.6,0.267,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110070112412,GIBBS CONSTRUCTION LLC - TRIST CLASSROOM,1 PIRATES COVE,MERAUX,ST. BERNARD,29.9284,-89.92573,1220.4,0.163,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110055165235,LACOSTE ELEMENTARY SCHOOL (FORMERLY ST. MARKS SCHOOL),1625 MISSOURI ST.,CHALMETTE,ST. BERNARD,29.942725,-89.945795,2281.0,0.235,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110011164685,MERAUX FOOD STORE PIT LANE,3225 E JUDGE PEREZ DR,MERAUX,ST. BERNARD,29.937642,-89.929284,1731.8,0.429,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110000448837,MERAUX REFINERY,2500 EAST ST. BERNARD HIGHWAY,MERAUX,ST. BERNARD PARISH,29.943576,-89.937859,2218.6,0.516,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110043265935,MIST HER CLEAN LLC,2601 MARIETTA ST.,CHALMETTE,ST. BERNARD,29.94059,-89.95789,2748.6,0.4,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110000548701,MUNSTER WASTEWATER TREATMENT PLANT,3300 MUNSTER BOULEVARD,MERAUX,ST. BERNARD,29.94462,-89.92889,2465.2,0.28,LOW,spatial+fuzzy_name
