IMO,VesselName,TotalVoyages,CompleteVoyages,AvgInboundDurationHours,AvgOutboundDurationHours,AvgPortDurationHours,AvgVesselUtilizationPct,MostFrequentDischargeTerminal,TotalCargoEstimateTonnes,AvgCargoPerVoyageTonnes
9856622,Hafnia Guangzhou,1,1,143.25,,,,,,
9856634,Hafnia Beijing,1,1,78.03,10.88,58.85,39.8,Valero St Charles,,
9856919,African Cardinal,3,3,201.18,95.05,136.90,33.7,Reserve Buoys,,
9856921,Fjm Glory,2,2,247.17,636.43,139.85,17.3,AST St James Buoys,,
9857042,Zagori,3,3,99.13,81.17,102.13,41.5,ARTCO 110-111 Buoys,,
9857212,Yasa Albatross,1,1,29.75,11.07,42.60,51.1,Valero St Charles,,
9857224,Yasa Pelican,2,1,26.12,8.23,25.75,42.8,Valero Meraux,,
9857236,Yasa Flamingo,7,6,45.91,34.25,56.99,43.4,Exxon Baton Rouge,,
9857248,Yasa Swan,4,4,79.32,30.68,45.86,33.4,Exxon Baton Rouge,,
9857468,Seatribute,1,1,146.35,,,,,,
9857858,Mediterraneanvoyager,8,7,54.82,21.15,31.84,29.8,Valero St Charles,,
9857860,Caribbean Voyager,6,5,111.17,11.43,49.55,64.8,IMTT,,
9858060,Basset,1,1,13.70,9.60,28.72,55.2,Valero St Charles,,
9858292,Babitonga,2,2,247.38,10.03,36.43,19.0,ADM AMA,,
9858333,Smirni,4,3,263.00,22.81,187.92,45.7,Cargill Reserve,,
9858345,Krini,5,5,130.48,64.44,103.77,36.1,Cargill Westwego,,
9858515,Selina H,2,2,205.61,23.73,40.40,14.3,Zen-Noh,,
9858527,Southern Hawk,4,4,153.83,70.86,56.08,22.8,ADM AMA,,
9858539,Sarah H,4,4,77.90,156.06,57.33,26.7,ADM AMA,,
9858618,Glad Young,3,3,254.47,13.13,138.49,37.8,Drax Biomass,,
9858620,Sound Young,4,4,227.80,11.48,52.28,19.4,Bunge Destrehan,,
9858852,Wisco Adventure,2,1,30.88,15.62,80.58,63.4,Exxon Baton Rouge,,
9859026,Sdtr Dora,2,2,53.31,10.52,48.33,43.4,ADM AMA,,
9859181,San Jack,1,1,44.75,17.18,60.15,49.3,Exxon Baton Rouge,,
9859208,Gwn2,4,2,26.10,9.28,50.06,60.1,Valero Meraux,,
9859739,Energy Integrity,6,6,49.17,,,,,,
9859791,Avra,1,1,84.78,,,,,,
9860025,Star Nadziye,1,1,479.53,8.68,109.28,18.3,Cargill Westwego,,
9860037,Star Sapphire,2,2,116.28,14.73,81.06,44.6,Cargill Westwego,,
9860116,Golden Fast,1,1,267.62,,,,,,
9860128,Golden Furious,1,1,9.53,104.42,168.45,59.6,Copper Dockside Buoys,,
9860192,Fairchem Integrity,6,6,62.94,41.91,30.66,29.9,Stolthaven,,
9860207,Fairchem Honor,10,10,75.71,25.91,47.81,44.1,PCS Nitrogen,,
9860221,Great Venture,5,5,143.39,9.78,96.08,43.9,Bunge Destrehan,,
9860233,Great Spirit,4,4,116.56,10.55,64.84,44.9,Bunge Destrehan,,
9860269,Kaifong,2,2,105.22,10.53,110.65,76.1,Cargill Reserve,,
9860271,Kangting,13,13,128.68,10.33,56.38,38.6,Bunge Destrehan,,
9860283,Kansu,4,4,198.55,142.46,54.34,20.9,AST Chalmette Buoys,,
9860295,Kashing,6,6,123.23,13.39,35.04,27.0,Zen-Noh,,
9860374,World Virtue,2,2,37.31,115.77,59.97,32.4,AST Meraux Buoys,,
9860386,World Crest,6,6,98.73,34.25,66.37,55.4,UBT Davant,,
9860398,World Ruby,5,4,88.42,68.82,130.64,52.2,Cargill Reserve,,
9860403,World Prize,2,2,74.56,7.95,93.50,84.3,Nashville Ave,,
9860415,Federal Oak,3,3,178.23,,,,,,
9860477,Cape Harrier,1,1,82.50,,,,,,
9860506,Prairie,3,3,356.37,11.35,49.66,14.0,Bunge Destrehan,,
9860520,Port Tokyo,2,2,26.77,9.48,78.21,69.8,Poland St,,
9860582,Federal Indus,2,2,164.84,10.26,45.04,20.7,ADM AMA,,
9860609,Bunun Leader,8,8,93.15,79.37,95.92,39.9,Copper Darrow Buoys,,
9860611,Ionian Sea,5,5,82.97,97.17,48.02,21.6,AST Meraux Buoys,,
9860623,Santa Ines,3,3,98.90,12.72,68.48,44.6,Bunge Destrehan,,
9860635,Cmb Jordaens,2,2,223.28,7.54,78.37,25.0,UBT Davant,,
9860647,Federal Illinois,2,2,56.32,194.14,49.67,19.9,Nashville Ave,,
9860659,Proud Unity,8,7,135.85,46.66,88.17,37.4,Nashville Ave,,
