HS4,HS2,Description
3811,38,ANTIKNOCK PREPARATIONS BASED ON TETRAETHYL LEAD OR ON A MIXTURE OF TETRAETHYL LEAD AND TETRAMETHYL LEAD
3812,38,PREPARED RUBBER ACCELERATORS CONTAINING ANY AROMATIC OR MODIFIED AROMATIC RUBBER ACCELERATORS
3813,38,PREPARATION & CHARGES FOR FIRE EXTINGUISHERS AND CHARGED FIRE-EXTINGUISHING GRENADES CONSISTING WHOLLY OF INORGANIC SUBSTANCES
3814,38,ORGANIC COMPOSITE SOLVENTS & THINNERS
3815,38,SUPPORTED CATALYSTS: WITH NICKEL OR NICKEL COMPOUNDS AS THE ACTIVE SUBSTANCE
3816,38,DOLOMITE RAMMING MIX
3817,38,MIXED LINEAR ALKYLBENZENES
3818,38,GALLIUM ARSENIDE WAFERS
3819,38,HYDRAULIC BRAKE FLUIDS
3820,38,ANTIFREEZING PREPARATION AND PREPARED DEICING FLUIDS
3821,38,VIRAL TRANSPORT MEDIA
3822,38,MALARIA DIAGNOSTIC TEST KITS
3823,38,STEARIC ACID
3824,38,PREPARED BINDERS FOR FOUNDRY MOLDS OR CORES
3825,38,MUNICIPAL WASTE
3826,38,BIODIESEL NOT CONTAINING PETROLEUM OILS OR OILS OBTAINED FROM BITUMINOUS MINERALS (B100)
3827,38,MIXTURES CONTAINING CHLOROFLUOROCARBONS (CFCS)
3901,39,POLYETHYLENE HAVING A SPECIFIC GRAVITY OF LESS THAN 0.94
3902,39,POLYPROPYLENE
3903,39,POLYSTYRENE
3904,39,POLYVINYL CHLORIDE
3905,39,POLYMERS OF VINYL ACETATE
3906,39,POLYMETHYL METHACRYLATE
3907,39,POLYACETALS
3908,39,POLYAMIDE-6
3909,39,UREA RESINS
3910,39,SILICONES IN PRIMARY FORMS
3911,39,PETROLEUM RESINS
3912,39,CELLULOSE ACETATES
3913,39,ALGINIC ACID
3914,39,CROSS-LINKED POLYVINYLBENZYLTRIMETHYLAMMONIUM CHLORIDE (CHOLESTYRAMINE RESIN USP)
3915,39,WASTE
3916,39,RODS
3917,39,ARTIFICIAL GUTS (SAUSAGE CASINGS) OF CELLULOSIC PLASTICS MATERIALS
3918,39,FLOOR COVERINGS OF VINYL TILE CONSISTING OF A RIGID SOLID POLYMER CORE
3919,39,PAVEMENT MARKING TAPE IN ROLLS NOT EXCEEDING 20 CM WIDE
3920,39,OTHER PLATES
3921,39,PLATES
3922,39,BATHS
3923,39,BOXES
3924,39,SALT
3925,39,RESERVOIRS
3926,39,OFFICE OR SCHOOL SUPPLIES OF PLASTICS OR OF OTHER MATERIALS OF HEADINGS 3901 TO 3914
4001,40,NATURAL RUBBER LATEX
4002,40,LATEX OF STYRENE-BUTADIENE RUBBER (SBR); CARBOXYLATED STYRENE-BUTADIENE RUBBER (XSBR)
4003,40,RECLAIMED RUBBER IN PRIMARY FORMS OR IN PLATES
4004,40,WASTE
4005,40,COMPOUNDED RUBBER
4006,40,CAMEL-BACK STRIPS FOR RETREADING RUBBER TIRES
4007,40,VULCANIZED RUBBER THREAD AND CORD
4008,40,PLATES
4009,40,TUBES
4010,40,CONVEYOR BELTS AND BELTING OF VULCANIZED RUBBER
4011,40,RADIAL TIRES HAVING A RIM DIAMETER OF 33.02 CM (13 INCHES) OR LESS OF A KIND USED ON MOTOR CARS (INCLUDING STATION WAGONS AND RACING CARS
4012,40,RETREADED TIRES
4013,40,INNER TUBES
4014,40,SHEATH CONTRACEPTIVES
4015,40,MEDICAL GLOVES
4016,40,OTHER ARTICLES OF VULCANIZED RUBBER OTHER THAN HARD RUBBER
4017,40,HARD RUBBER (FOR EXAMPLE
4101,41,HIDES AND SKINS OF BOVINE ANIMALS
4102,41,SHEEP OR LAMB SKINS WITH WOOL ON
4103,41,REPTILE RAW SKINS
4104,41,BOVINE UPPER LEATHER
4105,41,SHEEP OR LAMB SKIN LEATHER
4106,41,GOAT OR KID TANNED SKINS
4107,41,BOVINE  UPPER LEATHER WHOLE FULL GRAINS
4112,41,SHEEP OR LAMB SKIN GARMENT LEATHER
4113,41,GOAT OR KIDSKIN LEATHER
4114,41,CHAMOIS (INCLUDING COMBINATION CHAMOIS) LEATHER
4115,41,COMPOSITION LEATHER WITH A BASIS OF LEATHER OR LEATHER FIBER
4201,42,DOG LEASHES
4202,42,ATTACHE CASES
4203,42,ARTICLES OF APPAREL
4205,42,BELTING LEATHER CUT OR WHOLLY OR PARTLY MANUFACTURED INTO SHAPES SUITABLE FOR CONVERSION INTO BELTING
4206,42,ARTICLES OF CATGUT
4301,43,FURSKINS OF WILD MINK
4302,43,KOLINSKY MINK FURSKINS
4303,43,MINK FURSKIN ARTICLES OF APPAREL AND CLOTHING ACCESSORIES
4304,43,ARTIFICIAL FUR AND ARTICLES THEREOF
4401,44,FUEL WOOD
4402,44,WOOD CHARCOAL (INCLUDING SHELL OR NUT CHARCOAL)
4403,44,WOOD TELEPHONE
4404,44,FENCE PICKETS
4405,44,WOOD WOOL (EXCELSIOR); WOOD FLOUR
4406,44,RAILWAY OR TRAMWAY SLEEPERS (CROSS-TIES) OF CONIFEROUS WOOD
4407,44,PINE (PINUS)
4408,44,VENEER SHEETS AND SHEETS FOR PLYWOOD AND OTHER WOOD SAWN LENGTHWISE
4409,44,WOOD
4410,44,PARTICLE BOARD
4411,44,FIBERBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS
4412,44,PLYWOOD OF BAMBOO
4413,44,DENSIFIED WOOD
4414,44,TROPICAL WOOD FRAMES FOR PAINTINGS
4415,44,PACKING BOXES AND CASES WITH SOLID SIDES
4416,44,CASKS
4417,44,BROOM AND MOP HANDLES
4418,44,WINDOWS
4419,44,BREADBOARDS
4420,44,STATUETTES AND OTHER ORNAMENTS OF TROPICAL WOOD
4421,44,CLOTHES HANGERS
4501,45,NATURAL CORK
4502,45,NATURAL CORK
4503,45,CORKS AND STOPPERS OF NATURAL CORK
4504,45,VULCANIZED SHEETS AND SLABS WHOLLY OF GROUND OR PULVERIZED CORK AND RUBBER
4601,46,MATS
