registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code,facility_type
110072074364,ROBSTOWN PLANT,3456 CO RD 75,ROBSTOWN,TX,78380,NUECES,6.0,27.743394,-97.700789,327320,Ready-Mix Concrete
110071945895,HARBOR BRIDGE PRECAST YARD,4041 CR 36,ROBSTOWN,TX,78380,NUECES,6.0,27.768861,-97.687398,327320,Ready-Mix Concrete
110070134957,DAWKINS ON-SITE ROBSTOWN CBP1,3994 COUNTY ROAD 36,ROBSTOWN,TX,78380,NUECES,6.0,27.768871,-97.683393,327320,Ready-Mix Concrete
110072082189,ROCKDALE CBP,1365 US 79,ROCKDALE,TX,76567,MILAM,6.0,30.64324,-97.04437,327320,Ready-Mix Concrete
110071539437,SRM PLANT 14083 ROCKWALL,2010 KRISTY LN,ROCKWALL,TX,75032,ROCKWALL,6.0,32.8976,-96.4065,327320,Ready-Mix Concrete
110069258868,ROCKWALL PLANT,2010 KRISTY LN,ROCKWALL,TX,75032,ROCKWALL COUNTY,6.0,32.9119,-96.44094,327320,Ready-Mix Concrete
110070244746,LATTIMORE MATERIALS CORP - ROCKWALL RM,2640 STATE HIGHWAY 276,ROCKWALL,TX,75032,ROCKWALL COUNTY,6.0,32.9061,-96.41094,327320,Ready-Mix Concrete
110071426111,PLANT 13,120 MOORE BAR RD,ROSENBERG,TX,77471,FORT BEND COUNTY,6.0,29.57146,-95.84861,327320,Ready-Mix Concrete
110039498736,CAMPBELL RMC ROSENBERG,855 SH 36,ROSENBERG,TX,77471,FORT BEND COUNTY,6.0,29.563953,-95.829871,327320,Ready-Mix Concrete
110071285647,ALLIED PLANT 1 - ROSENBURG,6214 READING RD,ROSENBERG,TX,77471,FORT BEND COUNTY,6.0,29.545651,-95.763947,327320,Ready-Mix Concrete
110064627079,ROSENBERG RMC PLANT,855 HIGHWAY 36 N,ROSENBERG,TX,77471,FORT BEND,6.0,29.564421,-95.830191,327320,Ready-Mix Concrete
110070795878,"CEMEX CONSTRUCTION MATERIALS HOUSTON, LLC - ARCOLA",15800 HIGHWAY 6,ROSHARON,TX,77583,BRAZORIA COUNTY,6.0,29.491742,-95.428152,327320,Ready-Mix Concrete
110071729884,"CEMEX CONSTRUCTION MATERIALS HOUSTON, LLC - ARCOLA RM",800 FENN RD,ROSHARON,TX,77583,FORT BEND COUNTY,6.0,29.503628,-95.482839,327320,Ready-Mix Concrete
110006688600,CAMPBELL PLANT 30  ARCOLA,5755 FM 521,ROSHARON,TX,77583,FORT BEND COUNTY,6.0,29.501179,-95.463679,327320,Ready-Mix Concrete
110071994255,ARCOLA RMC PLANT,5755 FM 521 RD,ROSHARON,TX,77583,FORT BEND,6.0,29.501191,-95.463675,327320,Ready-Mix Concrete
110061464785,TXI - ROUND ROCK READY MIX,2412 PICADILLY,ROUND ROCK,TX,78664,TRAVIS,6.0,30.46917,-97.66784,327320,Ready-Mix Concrete
110012703155,PIONEER CONCRETE OF TEXAS INC,2412 ROYSTON LANE,ROUND ROCK,TX,78664,WILLIAMSON,6.0,30.461785,-97.659368,327320,Ready-Mix Concrete
110006796459,TXI OPERATIONS ROWLETT,2200 GORDON SMITH DR,ROWLETT,TX,75088,DALLAS,6.0,32.90338,-96.58153,327320,Ready-Mix Concrete
110029527000,BODIN CONCRETE,4811 BOYD BLVD,ROWLETT,TX,75088,DALLAS,6.0,32.90341,-96.5792,327320,Ready-Mix Concrete
110069308868,LATTIMORE MATERIALS CORP - ROYSE CITY RMX,2200 E COUNTY LINE ROAD,ROYSE CITY,TX,75189,COLLIN COUNTY,6.0,32.98162,-96.32338,327320,Ready-Mix Concrete
110071817071,CBP SABINAL,21420 US HWY 90,SABINAL,TX,78881,UVALDE,6.0,29.31611,-99.47826,327320,Ready-Mix Concrete
110071284466,"HOLCIM-SOR, INC.-GOLDEN PASS PORTABLE",3273 S GULFWAY,SABINE PASS,TX,77655,JEFFERSON COUNTY,6.0,29.746105,-93.920949,327320,Ready-Mix Concrete
110033738702,FARRIS SAGINAW PLANT,1037 JARVIS RD,SAGINAW,TX,76179,TARRANT,6.0,32.87162,-97.36993,327320,Ready-Mix Concrete
110071671892,FIVE STAR CONCRETE BATCH PLANT - SALADO,SITE IS LOCATED APPROXIMATELY 2 MILES NORTH OF THE,SALADO,TX,76357,BELL,6.0,,,327320,Ready-Mix Concrete
110070247350,SAN ANGELO 1,1040 FOSTER,SAN ANGELO,TX,76903,TOM GREEN COUNTY,6.0,31.43495,-100.44846,327320,Ready-Mix Concrete
110035225556,SAN ANGELO READY MIX PLANT,5235 CHRISTOVAL RD,SAN ANGELO,TX,76904,TOM GREEN,6.0,31.40544,-100.43015,327320,Ready-Mix Concrete
110071540322,SRM CONCRETE SAN ANGELO PLANT 14112,1040 FOSTER ST,SAN ANGELO,TX,76903,TOM GREEN,6.0,31.434053,-100.447061,327320,Ready-Mix Concrete
