direction,port_consolidated,group,commodity,cargo,cargo_detail,country,ves_mt,ves_value_usd,records
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,SINGAPORE,22895.3,72564222,11
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,AUSTRALIA,22808.5,14895067,1
Import,Lower Miss River,Dry Bulk,Metals,Zinc Concentrate,Zinc Concentrate,PERU,22569.2,26130827,1
Import,Lower Miss River,x,x,x,x,MEXICO,22209.0,144640599,42
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Vermiculite,Vermiculite,SOUTH AFRICA,21988.4,5100506,1
Import,Lower Miss River,Dry Bulk,Construction Materials,Cement,Cement,CROATIA,21941.7,5794776,1
Import,Lower Miss River,Dry Bulk,Construction Materials,Aggregates,Aggregates,NEW ZEALAND,21136.7,1781785,2
Import,Lower Miss River,Dry Bulk,Construction Materials,Cement,Cement,COLOMBIA,21032.3,1237961,1
Import,Lower Miss River,Dry Bulk,Carbon Products,Petcoke,Petcoke,POLAND,20865.0,2588534,1
Import,Lower Miss River,x,x,x,x,GUATEMALA,20850.6,94224202,54
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Salt,Salt,ITALY,20702.0,703043,1
Import,Lower Miss River,Dry Bulk,Metals,Copper,Copper,PERU,20396.4,204774076,10
Import,Lower Miss River,Dry Bulk,Forestry,"Lumber, Board","Lumber, Board",BRAZIL,20395.8,18432725,12
Import,Lower Miss River,Dry Bulk,Construction Materials,Aggregates,Aggregates,JAMAICA,20323.0,2117235,1
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Flat Rolled,CHINA,19865.4,18199972,5
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,EGYPT,19817.7,7826979,2
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats",Tallow,MALAYSIA,18694.9,20522436,2
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,UNITED KINGDOM,18281.6,69239889,14
Import,"LAKE CHARLES, LA",Dry Bulk,Non Ferrous Raw Materials,Alumina,Alumina,GERMANY,17750.0,4970000,1
Import,Lower Miss River,Dry Bulk,Metals,Aluminum,Aluminum,INDIA,17716.7,51247320,2
Import,Lower Miss River,Dry Bulk,Construction Materials,Slag & Ash,Slag & Ash,GERMANY,17701.5,167205,2
Import,"MORGAN CITY, LA",Dry Bulk,Construction Materials,Aggregates,Aggregates,BAHAMAS,17661.0,246406,1
Import,Lower Miss River,Dry Bulk,Metals,Zinc Concentrate,Zinc Concentrate,FINLAND,17544.6,2275764,1
Import,Lower Miss River,Dry Bulk,Construction Materials,Cement,Cement,DOMINICAN REPUBLIC,17325.0,1237484,1
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,NETHERLANDS,17289.8,39074045,19
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Long Products,ALGERIA,16983.2,8900834,1
Import,Lower Miss River,x,x,x,x,ITALY,16962.2,184331286,175
Import,Lower Miss River,Dry Bulk,Forestry,"Lumber, Board","Plywood, MDF",INDONESIA,16886.0,15422123,3
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,INDIA,16769.8,24075425,18
Import,"LAKE CHARLES, LA",Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,ALGERIA,16576.7,9190676,1
Import,Lower Miss River,Dry Bulk,Misc Bulk,Misc Bulk,Misc Bulk,NORWAY,16554.6,19301644,3
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,BAHRAIN,16549.3,10314773,1
Import,"LAKE CHARLES, LA",Dry Bulk,Steel,Finished Steel,Tubular Goods,GERMANY,16351.8,29470269,1
Import,Lower Miss River,Dry Bulk,Metals,Aluminum,Aluminum,BAHRAIN,16235.2,44156036,4
Import,Lower Miss River,Dry Bulk,Agricultural,Sugar,Sugar,ARGENTINA,16067.9,10819141,2
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Clean Products,Gasoline,FRANCE,15879.7,20550322,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,BELGIUM,15189.5,9116877,2
Import,Lower Miss River,Dry Bulk,Metals,Aluminum,Aluminum,AUSTRALIA,15156.3,45056865,2
Import,Lower Miss River,Dry Bulk,Metals,Aluminum,Aluminum,BRAZIL,14913.1,42877784,4
Import,Lower Miss River,Dry Bulk,Metals,Lead,Lead,"KOREA, SOUTH",14868.3,32096865,1
Import,Lower Miss River,Dry Bulk,Construction Materials,Aggregates,Aggregates,BRAZIL,14828.6,15835299,11
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Flat Rolled,INDONESIA,14715.4,13224810,4
Import,Lower Miss River,Dry Bulk,Construction Materials,Aggregates,Aggregates,CHINA,14506.0,6485332,36
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Flat Rolled,UNITED ARAB EMIRATES,14367.6,12557035,3
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Tubular Goods,JAPAN,14251.6,21787960,5
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Flat Rolled,AUSTRALIA,13873.0,15594165,1
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats","Vegetable Oils, Animal Fats, Sugar Fats",NEW ZEALAND,13851.7,16224503,2
Import,Lower Miss River,Liquid Bulk,Chemicals,Olefins,Olefins,BELGIUM,13791.4,17524204,2
Import,"LAKE CHARLES, LA",Dry Bulk,Forestry,"Lumber, Board","Lumber, Board",AUSTRIA,13729.4,9199021,6
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,FerroAlloys,FerroAlloys,BRAZIL,13654.9,17712753,4
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Talc,Talc,CHINA,13465.8,4569648,2
Import,"LAKE CHARLES, LA",Dry Bulk,Non Ferrous Raw Materials,Tio2,Tio2,CANADA,13273.4,43126624,1
Import,Lower Miss River,x,x,x,x,TURKEY,13137.4,12216900,39
