direction,port_code,port_name,commodity,hs6_description,cty_code,country_name,total_value_ytd,ves_value_ytd,ves_mt_ytd
Export,2001,"New Orleans, LA",401691,"FLOOR COVERINGS AND MATS, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER",6810,MARSHALL ISLANDS,5747,5747,0.28
Export,2001,"New Orleans, LA",401693,"GASKETS, WASHERS AND OTHER SEALS, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER",2010,MEXICO,178970,178970,1.433
Export,2001,"New Orleans, LA",401693,"GASKETS, WASHERS AND OTHER SEALS, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER",4120,UNITED KINGDOM,5622,5622,0.02
Export,2001,"New Orleans, LA",401693,"GASKETS, WASHERS AND OTHER SEALS, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER",6810,MARSHALL ISLANDS,205279,205279,2.197
Export,2001,"New Orleans, LA",401695,"INFLATABLE ARTICLES, EXCEPT BOAT OR DOCK FENDERS, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER, NESOI",6810,MARSHALL ISLANDS,5606,5606,0.002
Export,2001,"New Orleans, LA",401699,"HOUSEHOLD ARTICLES, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER, NESOI",2010,MEXICO,3746,3746,0.021
Export,2001,"New Orleans, LA",401699,"HOUSEHOLD ARTICLES, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER, NESOI",6810,MARSHALL ISLANDS,3144,3144,0.642
Export,2001,"New Orleans, LA",401699,"HOUSEHOLD ARTICLES, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER, NESOI",7620,ANGOLA,8164,8164,0.075
Export,2001,"New Orleans, LA",401699,"HOUSEHOLD ARTICLES, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER, NESOI",7644,SAO TOME AND PRINCIPE,8164,8164,0.034
Export,2001,"New Orleans, LA",411390,"LEATHER OF ANIMALS, NESOI, FURTHER PREPARED AFTER TANNING OR CRUSTING, INCLUDING PARCHMENT-DRESSED, WITHOUT WOOL OR HAIR ON, WHETHER OR NOT SPLT",2250,PANAMA,4179,4179,0.015
Export,2001,"New Orleans, LA",420292,INSULATED FOOD OR BEVERAGE BASGS WITH OUTER SURFACE OF SHEETING OF PLASTIC OR OF TEXTILE MATERIALS,3510,BRAZIL,3134,3134,0.111
Export,2001,"New Orleans, LA",420299,"CASES, BAGS, AND CONTAINERS, OTHER OF MATERIALS OR COVERINGS, NESOI",7650,LIBERIA,7500,7500,0.272
Export,2001,"New Orleans, LA",420329,"GLOVES, MITTENS & MITTS, NOT DESIGNED FOR USE IN SPORTS",2010,MEXICO,15305,15305,0.264
Export,2001,"New Orleans, LA",420500,ARTICLES OF LEATHER OR COMPOSITION LEATHER USED IN MACHINERY OR MECHANICAL APPLIANCES OR FOR OTHER TECHNICAL USES,6810,MARSHALL ISLANDS,7000,7000,0.054
Export,2001,"New Orleans, LA",440326,"CONIFEROUS WOOD POLES, PILES AND POSTS IN THE ROUGH, NOT TREATED, OF WHICH ANY CROSS-SECTIONAL DIMENSION IS LESS THAN 15 CM (5.9 IN), NE",7650,LIBERIA,6270,6270,7.348
Export,2001,"New Orleans, LA",440420,"FENCE PICKETS, PALINGS AND RAILS OF NONCONIFEROUS WOOD, POINTED BUT NOT SAWN LENGTHWISE",2450,HAITI,979722,979722,409.494
Export,2001,"New Orleans, LA",440792,"BEECH WOOD, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, WHETHER OR NOT PLANED, SANDED OR END-JOINTED, OF A THICKNESS EXCEEDING 6 MM, NESOI",2010,MEXICO,3271,3271,4.037
Export,2001,"New Orleans, LA",441292,"BLOCKBOARD, LAMINBOARD, AND BATTENBOARD, AT LEAST ONE LAYER OF PARTICLE BOARD",2410,JAMAICA,6293,6293,6.694
Export,2001,"New Orleans, LA",441510,"CASES, BOXES, CRATES, DRUMS AND SIMILAR PACKINGS OF WOOD; CABLE-DRUMS OF WOOD",6810,MARSHALL ISLANDS,12909,12909,1.041
Export,2001,"New Orleans, LA",441899,"BUILDERS' JOINERY AND CARPENTRY OF WOOD, INCLUDING CELLULAR WOOD PANELS, NESOI",7530,NIGERIA,3000,3000,0.68
Export,2001,"New Orleans, LA",442199,WOOD DOWEL PINS,2010,MEXICO,72000,72000,37.23
Export,2001,"New Orleans, LA",480300,"TOILET/FACIAL TISSUES, TOWEL/NAPKINS STOCK & SIMILAR PAPER FOR HOUSEHOLD/SANITARY PURPOSES, CELLULOSE WADDING & WEBS CELLULOSE FIBERS IN ROLL/SHEETS",2250,PANAMA,10000,10000,5.0
Export,2001,"New Orleans, LA",482010,"REGISTERS, ACCOUNT BOOKS, NOTEBOOKS, ORDER BOOKS, RECEIPT BOOKS, LETTER PADS, MEMORANDUM PADS, DIARIES AND SIMILAR ARTICLES OF PAPER OR PAPERBOARD",7650,LIBERIA,3495,3495,2.283
